DDCTransactionId67C4E6B54821EAD9C15960961316B64F_38, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.755593ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_39, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.144899ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_40, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.113804ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_41, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf13D2B0DF__2DC4892CA87964F662FFFB587B759DA2089C4336, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=92504 bytes, Retrieved=true, Duration=0.317365ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_42, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__F605D39738BD62A18FD571504042A0CB493DE073, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=18.386789ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_43, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf8AE21826__B2EE2BEAE260EA06032C70165BEE4168FA14751C, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=20394 bytes, Retrieved=true, Duration=0.077579ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_44, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf8AE21826__25A678797EBBFCD69AE8F65215764983980239DF, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=13076 bytes, Retrieved=true, Duration=11.530053ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_45, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.129193ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_46, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.092644ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_47, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2016.05.24-09.33.02, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.119895ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
