DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_36, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.350066ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_37, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.115085ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_38, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.546254ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_39, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.120535ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_40, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.117972ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_41, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf13D2B0DF__2DC4892CA87964F662FFFB587B759DA2089C4336, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=92504 bytes, Retrieved=true, Duration=0.171185ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_42, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__F605D39738BD62A18FD571504042A0CB493DE073, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=0.542410ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_43, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf8AE21826__B2EE2BEAE260EA06032C70165BEE4168FA14751C, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=20394 bytes, Retrieved=true, Duration=0.157401ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_44, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf8AE21826__25A678797EBBFCD69AE8F65215764983980239DF, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=13076 bytes, Retrieved=true, Duration=0.430852ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_45, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.122778ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_46, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.123419ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_47, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.151310ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf73E35E74__07AD1E40AE5901D4323040E5287D3ABD3953CC42, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=17019 bytes, Retrieved=true, Duration=0.062831ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf73E35E74__4765A473A0D4F0B927AA0D480D31D2402C9F9FBD, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=10935 bytes, Retrieved=true, Duration=0.543695ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDC721E05__98EBCF9F5423F797CDB3ACCED40048225FBA6A39, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=47501 bytes, Retrieved=true, Duration=0.073735ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_51, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDC721E05__1C69E71487C9D945FB77CFD00E62FA645C490DB3, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=41213 bytes, Retrieved=true, Duration=0.637941ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_52, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufEE932653__B3F073178F3F1130CB72A034EF5B5C6781420DA7, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=97656 bytes, Retrieved=true, Duration=0.197474ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_53, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufEE932653__E5DE69366CEF3411C5F5B2D097DC39DB4B4BC537, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=64177 bytes, Retrieved=true, Duration=0.823230ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD10B7D22__326F6A54B76BD42B8D40425AACF8F1F639A0B532, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=26747 bytes, Retrieved=true, Duration=0.063475ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD10B7D22__FE6E8A900FB3F7E66F1E0900DE5EAEDBC09CE275, StartTime=2016.05.24-08.48.40, HierarchicalDDC, DataSize=19576 bytes, Retrieved=true, Duration=0.561964ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_56, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf_TAtmosphe__BF0EF7E4CB862902856743C5AFE6673740FA8C40, StartTime=2016.05.24-08.48.49, HierarchicalDDC, DataSize=1593035 bytes, Retrieved=true, Duration=6.498337ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=20.164363ms, AllOfLoadPackage_HitCount=2, ResolveRedirectors_Duration=3466.746639ms, ResolveRedirectors_HitCount=2, CacheForCookedPlatformData_Duration=1.408279ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=11.924036ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=26.437350ms, SavePackageCacheForCookedPlatformData_HitCount=171, SaveCookedPackage_Duration=2785.153549ms, SaveCookedPackage_HitCount=170, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_57, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE00E67C0__EFF7136C968FE1A3995DFB2D75EAA6F66B61525A, StartTime=2016.05.24-08.48.50, HierarchicalDDC, DataSize=514284 bytes, Retrieved=true, Duration=1.716029ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_58, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE00E67C0__D35B338158045D46056875B38CC3300AE17778E1, StartTime=2016.05.24-08.48.50, HierarchicalDDC, DataSize=386908 bytes, Retrieved=true, Duration=1.415972ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_59, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE00E67C0__CF5A1B7935AAE5A8A29B4F3078DA93BCA3B64F85, StartTime=2016.05.24-08.48.50, HierarchicalDDC, DataSize=500487 bytes, Retrieved=true, Duration=1.592606ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
